ASS,Distretto,id,Denominazione_struttura,Natura_giuridica,operator,addr:street,addr:housenumber,addr:postcode,addr:city,lon,lat,type,Prov.,Telefono,Fax,Email,Convenzione_con_SSR,Tipologia_residenza,description,social_facility,social_facility:for,capacity,Posti_letto_per_autosufficienti,capacity:disabled,Posti_letto_in_polifunzionale
ASS4 - Medio Friuli,4.5 Udine,65,Casa di accoglienza del clero,privata sociale,,Via Giuseppe Ellero,3,33100,Udine,13.2428824,46.0624461,house,UD,+39 0432 511185,+39 0432 502833,fraternitaudine@libero.it,non convenzionata,Residenza ad utenza diversificata,"Residenza ad utenza diversificata, privata sociale, non convenzionata con SSR; ASS4 - Medio Friuli, distretto 4.5 Udine",nursing_home,senior;disabled,57,35,22,
ASS1 - Triestina,1.2 Sud,66,Casa di riposo Cristal,privata di mercato,,Via cesare Battisti,26,34137,Trieste ,13.7818204,45.6535159,house,TS,+39 040 633545,,cristal_TS@hotmail.it,non convenzionata,Residenza polifunzionale,"Residenza polifunzionale, privata di mercato, non convenzionata con SSR; ASS1 - Triestina, distretto 1.2 Sud",nursing_home,senior,16,,,16
ASS1 - Triestina,1.1 Ovest,67,Casa di riposo F.lli Stuparich,pubblica comunale,Comune di Duino Aurisina / Devin - Nabrežina,sistiana,132,34011,Duino Aurisina / Devin - Nabrežina,13.64157572384536,45.766964599999994,social_facility,TS,+39 040 299195,+39 040 2916043,guglia@comune.duino-aurisina.ts.it,convenzionata,Residenza protetta,"Residenza protetta, pubblica comunale, convenzionata con SSR; ASS1 - Triestina, distretto 1.1 Ovest",nursing_home,disabled,81,,81,
ASS6 - Friuli occidentale,6.4 Nord,68,Casa di riposo Fondazione G. Fabricio,privata sociale,,Via Villa Dote,17,33090,Clauzetto ,12.9181902,46.2292351,house,PN,+39 0427 80205,+39 0427 80205,parr.clauzetto@diocesiconcordiapordenone.it,convenzionata,Residenza ad utenza diversificata,"Residenza ad utenza diversificata, privata sociale, convenzionata con SSR; ASS6 - Friuli occidentale, distretto 6.4 Nord",nursing_home,senior;disabled,25,11,14,
ASS2 - Isontina,2.1 Alto Isontino,69,Casa di riposo La Cjase,pubblica comunale,Comune di Cormons ,VIALE VENEZIA GIULIA,74,34071,Cormons ,13.4620777,45.9601496,house,GO,+39 0481 60485,,assistente.sociale@com-cormons.regione.fvg.it,convenzionata,Residenza ad utenza diversificata,"Residenza ad utenza diversificata, pubblica comunale, convenzionata con SSR; ASS2 - Isontina, distretto 2.1 Alto Isontino",nursing_home,senior;disabled,49,5,44,
ASS1 - Triestina,1.1 Ovest,70,Casa di riposo Livia Ieralla Onlus,privata sociale,,Padriciano,199,34149,Trieste,13.842317271566401,45.65885385,social_facility,TS,+39 040 226260,+39 040 226849,patrizia.piras@casaieralla.it,convenzionata,Residenza protetta,"Residenza protetta, privata sociale, convenzionata con SSR; ASS1 - Triestina, distretto 1.1 Ovest",nursing_home,disabled,112,,112,
ASS1 - Triestina,1.2 Sud,71,Casa di riposo Napoleone,privata di mercato,,Via Pozzo del Mare,1,34100,Trieste ,13.7672511,45.6493642,pub,TS,+39 040 304986,+39 040 301943,casanapoleone@gmail.com,non convenzionata,Residenza polifunzionale,"Residenza polifunzionale, privata di mercato, non convenzionata con SSR; ASS1 - Triestina, distretto 1.2 Sud",nursing_home,senior,21,,,21
ASS4 - Medio Friuli,4.2 Tarcento,72,Casa di riposo Nobili dè Pilosio,pubblica comunale,Comune di Tricesimo ,Via San Francesco,98,33019,Tricesimo ,13.2043385,46.16149,house,UD,+39 0432 851115,+39 0432 854970,casadiriposo@com-tricesimo.regione.fvg.it,convenzionata,Residenza ad utenza diversificata,"Residenza ad utenza diversificata, pubblica comunale, convenzionata con SSR; ASS4 - Medio Friuli, distretto 4.2 Tarcento",nursing_home,senior;disabled,99,54,45,
ASS1 - Triestina,1.4 Nord,73,Casa di riposo S. Domenico - Ente di culto S. Giusto,ente religioso,,Strada di Guardiella,13,34128,Trieste,13.8030156,45.6540615,house,TS,+39 040 568611,+39 040 568611,cdrsandomenico@alice.it,convenzionata,Residenza protetta,"Residenza protetta, ente religioso, convenzionata con SSR; ASS1 - Triestina, distretto 1.4 Nord",nursing_home,disabled,48,,48,
ASS2 - Isontina,2.1 Alto Isontino,74,Casa di riposo S. Vincenzo De Paoli,ente religioso,,Via della Bona,15,34170,Gorizia,13.6226751,45.9371551,house,GO,+39 0481 531546,+39 0481 537997,sviluppoprogetti1@gmail.com,non convenzionata,Casa albergo,"Casa albergo, ente religioso, non convenzionata con SSR; ASS2 - Isontina, distretto 2.1 Alto Isontino",assisted_living,senior,68,68,,
ASS3 - Alto Friuli,3.1 Gemonese,75,Casa di riposo Santa Maria degli Angeli,ente religioso,,LARGO padre gregorio FIORAVANTI,9,33013,Gemona del Friuli ,13.1367061,46.2792212,house,UD,+39 0432 898711 - 347 4291472,+39 0432 898726,economagem@libero.it,non convenzionata,Residenza ad utenza diversificata,"Residenza ad utenza diversificata, ente religioso, non convenzionata con SSR; ASS3 - Alto Friuli, distretto 3.1 Gemonese",nursing_home,senior;disabled,80,40,40,
ASS2 - Isontina,2.2 Basso Isontino,76,Casa di riposo Serena,pubblica comunale,Comune di Grado ,Viale Papa Giovanni Ventitreesimo,40,34073,Grado ,13.3926741,45.6800429,house,GO,+39 0431 896411,+39 0431 85112,casariposo.serena@comunegrado.it,convenzionata,Residenza protetta,"Residenza protetta, pubblica comunale, convenzionata con SSR; ASS2 - Isontina, distretto 2.2 Basso Isontino",nursing_home,disabled,115,,115,
ASS5 - Bassa Friulana,5.1 Est,77,Casa di riposo V. Sarcinelli,pubblica comunale,Comune di Cervignano del Friuli ,VIA MERCATO,12,33052,Cervignano del Friuli ,13.3318256,45.8206044,house,UD,+39 0431 388530,+39 0431 388603,casa.riposo@com-cervignano-del-friuli.regione.fvg.it,convenzionata,Residenza ad utenza diversificata,"Residenza ad utenza diversificata, pubblica comunale, convenzionata con SSR; ASS5 - Bassa Friulana, distretto 5.1 Est",nursing_home,senior;disabled,87,28,59,
ASS2 - Isontina,2.1 Alto Isontino,78,Casa di riposo “Rosa Mistica”,ente religioso,,Largo S.Luigi Scrosoppi,2,34071,Cormons ,13.471685,45.9577792,house,GO,+39 0481 60157 - 0481 61881,+39 0481 61571,casadiriposo@rosamistica.191.it,non convenzionata,Residenza ad utenza diversificata,"Residenza ad utenza diversificata, ente religioso, non convenzionata con SSR; ASS2 - Isontina, distretto 2.1 Alto Isontino",nursing_home,senior;disabled,106,26,80,
ASS2 - Isontina,2.1 Alto Isontino,79,Casa di riposo ad utenza diversificata San Salvatore,pubblica comunale,Comune di Gradisca D'Isonzo ,Via della Campagnola,13,34072,Gradisca D'Isonzo ,13.5021411,45.8903568,house,GO,+39 0481 92644,+39 0481 954749,CasaRiposo@com-gradisca-d-isonzo.regione.fvg.it,convenzionata,Residenza ad utenza diversificata,"Residenza ad utenza diversificata, pubblica comunale, convenzionata con SSR; ASS2 - Isontina, distretto 2.1 Alto Isontino",nursing_home,senior;disabled,32,21,11,
ASS4 - Medio Friuli,4.1 S.Daniele,80,Casa di riposo Buja,pubblica comunale,Comune di Buja ,Via Ursinins Piccolo,2/23,33030,Buja ,13.119066726092559,46.2068791,social_facility,UD,+39 0432 960192,+39 0432 960192,,convenzionata,Residenza ad utenza diversificata,"Residenza ad utenza diversificata, pubblica comunale, convenzionata con SSR; ASS4 - Medio Friuli, distretto 4.1 S.Daniele",nursing_home,senior;disabled,27,15,12,
ASS1 - Triestina,1.3 Est,81,Casa di riposo comunale,pubblica comunale,Comune di Muggia ,Salita Ubaldini,5,34015,Muggia ,13.7657949,45.6024042,house,TS,+39 040 3360350,+39 040 272039,jasna.petaros@comunedimuggia.ts.it,convenzionata,Residenza ad utenza diversificata,"Residenza ad utenza diversificata, pubblica comunale, convenzionata con SSR; ASS1 - Triestina, distretto 1.3 Est",nursing_home,senior;disabled,72,10,62,
ASS2 - Isontina,2.1 Alto Isontino,82,Casa di riposo comunale Angelo Culot,pubblica comunale,Comune di Gorizia,VIA BRIGATA RE,31,34170,Gorizia,13.5805012,45.9362294,house,GO,+39 0481 390701,+39 0481 392329,graziella.coni@comune.gorizia.it,convenzionata,Residenza ad utenza diversificata,"Residenza ad utenza diversificata, pubblica comunale, convenzionata con SSR; ASS2 - Isontina, distretto 2.1 Alto Isontino",nursing_home,senior;disabled,127,95,32,
ASS6 - Friuli occidentale,6.2 Est,83,"Casa di riposo della Parrocchia dei Santi Vito, Modesto e Crescenzia Martiri",privata sociale,,via SAVORGNANO,47,33078,San Vito al Tagliamento ,12.8568894,45.9098461,house,PN,+39 0434 842511,+39 0434 842599,posta@casadiriposo.org,convenzionata,Residenza protetta,"Residenza protetta, privata sociale, convenzionata con SSR; ASS6 - Friuli occidentale, distretto 6.2 Est",nursing_home,disabled,264,,264,
ASS6 - Friuli occidentale,6.1 Ovest,84,Casa di riposo di Sacile,pubblica comunale,Comune di Sacile ,Via Ettoreo,4,33077,Sacile ,12.499257066804603,45.956657899999996,hospital,PN,+39 0434 736489,+39 0434 736405,casa_rip@libero.it,convenzionata,Residenza protetta,"Residenza protetta, pubblica comunale, convenzionata con SSR; ASS6 - Friuli occidentale, distretto 6.1 Ovest",nursing_home,disabled,86,,86,
ASS5 - Bassa Friulana,5.1 Est,85,Casa di riposo per anziani del Comune di Aiello del Friuli,pubblica comunale,Comune di Aiello del Friuli ,VIA francesco PETRARCA,30,33041,Aiello del Friuli ,13.360206,45.868788,house,UD,+39 0431 99081,+39 0431 974596,casadiriposo@comune.aiellodelfriuli.ud.it,convenzionata,Residenza protetta,"Residenza protetta, pubblica comunale, convenzionata con SSR; ASS5 - Bassa Friulana, distretto 5.1 Est",nursing_home,disabled,60,,60,
ASS2 - Isontina,2.1 Alto Isontino,86,Casa di riposo Residenza protetta Villa S. Giusto,ente religioso,,CORSO ITALIA,244,34170,Gorizia,13.6089506,45.9352709,house,GO,+39 0481 596911,+39 0481 596988,s.giusto.accettazione@fatebenefratelli.it,convenzionata,Residenza protetta,"Residenza protetta, ente religioso, convenzionata con SSR; ASS2 - Isontina, distretto 2.1 Alto Isontino",nursing_home,disabled,200,,200,
ASS6 - Friuli occidentale,6.4 Nord,87,Comunità alloggio per anziani Andreis,pubblica comunale,Comune di Andreis ,Via Cesare Battisti,75,33080,Andreis ,12.6171267,46.2013591,house,PN,+39 0427 76290,+39 0427 76290,,non convenzionata,Comunità alloggio,"Comunità alloggio, pubblica comunale, non convenzionata con SSR; ASS6 - Friuli occidentale, distretto 6.4 Nord",group_home,,13,13,,
ASS6 - Friuli occidentale,6.1 Ovest,88,Casa di soggiorno per anziani Aviano,pubblica comunale,Comune di Aviano ,Via Aldo Moro,13,33081,Aviano ,12.578086154726027,46.07192045,social_facility,PN,+39 0434 652367,+39 0434 651312,casa.riposo@com-aviano.regione.fvg.it,convenzionata,Residenza protetta,"Residenza protetta, pubblica comunale, convenzionata con SSR; ASS6 - Friuli occidentale, distretto 6.1 Ovest",nursing_home,disabled,95,,95,
ASS3 - Alto Friuli,3.1 Gemonese,89,Casa di soggiorno per anziani Gemona,pubblica comunale,Comune di Gemona del Friuli ,Via Croce del Papa,31,33013,Gemona del Friuli ,13.1345894,46.2843523,house,UD,+39 0432 980465 - 0432 972810,+39 0432 980465,assistenza@com-gemona-del-friuli.regione.fvg.it,convenzionata,Residenza protetta,"Residenza protetta, pubblica comunale, convenzionata con SSR; ASS3 - Alto Friuli, distretto 3.1 Gemonese",nursing_home,disabled,68,,68,
ASS4 - Medio Friuli,4.2 Tarcento,90,Casa famiglia regionale per anziani non vedenti Villa Masieri,privata sociale,,Via Luseriacco,8,33019,Tricesimo ,13.2059729,46.1509072,house,UD,+39 0432 853569,+39 0432 853569,masieri@uiciechi.it,non convenzionata,Casa albergo,"Casa albergo, privata sociale, non convenzionata con SSR; ASS4 - Medio Friuli, distretto 4.2 Tarcento",assisted_living,senior,45,45,,
ASS6 - Friuli occidentale,6.5 Urbano,91,Casa Serena - Pordenone,pubblica comunale,Comune di Pordenone,Via Revedole,88,33170,Pordenone,12.6788919,45.9623472,doctors,PN,+39 0434 41221,+39 0434 541259,giovanni.diprima@comune.pordenone.it,convenzionata,Residenza protetta,"Residenza protetta, pubblica comunale, convenzionata con SSR; ASS6 - Friuli occidentale, distretto 6.5 Urbano",nursing_home,disabled,243,,243,
ASS3 - Alto Friuli,3.1 Gemonese,92,Centro anziani E. Tolazzi,pubblica comunale,Comune di Moggio Udinese ,Via Giorgio Ermolli,28,33015,Moggio Udinese ,13.1953813,46.4052299,house,UD,+39 0433 51999,+39 0433 550619,centro.anziani@com-moggio-udinese.regione.fvg.it,convenzionata,Residenza protetta,"Residenza protetta, pubblica comunale, convenzionata con SSR; ASS3 - Alto Friuli, distretto 3.1 Gemonese",nursing_home,disabled,71,,71,
ASS6 - Friuli occidentale,6.4 Nord,93,Centro assistenza anziani Maniago,pubblica comunale,Comune di Maniago ,Via San Mauro,5,33085,Maniago ,12.7118304,46.1718038,house,PN,+39 0427 707400,+39 0427 732349,casa.anziani@maniago.it,convenzionata,Residenza ad utenza diversificata,"Residenza ad utenza diversificata, pubblica comunale, convenzionata con SSR; ASS6 - Friuli occidentale, distretto 6.4 Nord",nursing_home,senior;disabled,86,20,66,
ASS3 - Alto Friuli,3.1 Gemonese,94,Pio Istituto Elemosiniere - A. del Colle,pubblica ASP,Pio Istituto Elemosiniere - A. del Colle,Via San Giovanni,8,33010,Venzone ,13.138051,46.3340167,house,UD,+39 0432 985159,+39 0432 985159,segreteria@aspvenzone.it,convenzionata,Casa albergo,"Casa albergo, pubblica ASP, convenzionata con SSR; ASS3 - Alto Friuli, distretto 3.1 Gemonese",assisted_living,senior,34,34,,
ASS4 - Medio Friuli,4.4 Codroipo,95,Centro assistenziale Italia Rovere Bianchi - Mortegliano (UD),pubblica comunale,Comune di Mortegliano ,Vicinale Gonars,11,33050,Mortegliano ,13.178982952624489,45.943149250000005,social_facility,UD,+39 0432 762094,+39 0432 762095,centro.bianchi@com-mortegliano.regione.fvg.it,convenzionata,Residenza ad utenza diversificata,"Residenza ad utenza diversificata, pubblica comunale, convenzionata con SSR; ASS4 - Medio Friuli, distretto 4.4 Codroipo",nursing_home,senior;disabled,90,32,58,
ASS2 - Isontina,2.2 Basso Isontino,96,Centro demenze Alzheimer  Argo,pubblica tra comuni associati,Comune di San Canzian D'Isonzo ,Via Trieste,71,34075,San Canzian D'Isonzo ,13.46894,45.7981612,house,GO,+39 0481 76409,+39 0481 76409,info@casanzianironchi.191.it,convenzionata,Residenza protetta,"Residenza protetta, pubblica tra comuni associati, convenzionata con SSR; ASS2 - Isontina, distretto 2.2 Basso Isontino",nursing_home,disabled,13,,13,
ASS4 - Medio Friuli,4.1 S.Daniele,97,Centro residenziale per anziani M. Stango Rodino,pubblica comunale,Comune di Majano ,Viale Franco Bertagnolli,1,33030,Majano ,13.069465660389582,46.182416450000005,social_facility,UD,+39 0432 948466,+39 0432 848592,centroanziani@com-majano.regione.fvg.it,non convenzionata,Casa albergo,"Casa albergo, pubblica comunale, non convenzionata con SSR; ASS4 - Medio Friuli, distretto 4.1 S.Daniele",assisted_living,senior,99,99,,
ASS3 - Alto Friuli,3.2 Carnia,98,Centro residenziale per anziani Paularo,privata sociale,,Via della Pineta,2,33027,Paularo ,13.1220904,46.5262258,house,UD,+39 0433 711193,+39 0433 711193,,convenzionata,Casa albergo,"Casa albergo, privata sociale, convenzionata con SSR; ASS3 - Alto Friuli, distretto 3.2 Carnia",assisted_living,senior;disabled,25,5,20,
ASS6 - Friuli occidentale,6.5 Urbano,99,Centro sociale per anziani - Torre di Pordenone,pubblica comunale,Comune di Pordenone,Via Piave,54,33170,Pordenone,12.6783863,45.9702989,house,PN,+39 0434 41221,+39 0434 541259,giovanni.diprima@comune.pordenone.it,non convenzionata,Casa albergo,"Casa albergo, pubblica comunale, non convenzionata con SSR; ASS6 - Friuli occidentale, distretto 6.5 Urbano",assisted_living,senior,30,30,,
ASS3 - Alto Friuli,3.1 Gemonese,100,Centro sociale per anziani Osoppo,privata sociale,,Via Brigata Rosselli,7,33010,Osoppo ,13.084999448948171,46.2556042,social_facility,UD,+39 0432 975183,+39 0432 974498,centroanzianiosoppo@alice.it,convenzionata,Casa albergo,"Casa albergo, privata sociale, convenzionata con SSR; ASS3 - Alto Friuli, distretto 3.1 Gemonese",assisted_living,senior,82,82,,
ASS4 - Medio Friuli,4.1 S.Daniele,101,Centro sociale residenziale per anziani San Daniele,pubblica comunale,Comune di San Daniele del Friuli ,Via generale Luigi Cadorna,50,33038,San Daniele del Friuli ,13.0094773,46.149034,house,UD,+39 0432 955618,+39 0432 942770,centro.anziani@san-daniele.it,non convenzionata,Casa albergo,"Casa albergo, pubblica comunale, non convenzionata con SSR; ASS4 - Medio Friuli, distretto 4.1 S.Daniele",assisted_living,senior,99,99,,
ASS6 - Friuli occidentale,6.5 Urbano,102,Comunità alloggio Casa Colvera,privata sociale,,Via Colvera,1,33170,Pordenone,12.6543558,45.972563,house,PN,+39 0434 550073,+39 0434 550073,,non convenzionata,Comunità alloggio,"Comunità alloggio, privata sociale, non convenzionata con SSR; ASS6 - Friuli occidentale, distretto 6.5 Urbano",group_home,,14,14,,
ASS6 - Friuli occidentale,6.4 Nord,103,Comunità alloggio Il Pellegrin,pubblica comunale,Comune di Montereale Valcellina ,Via cesare Battisti,1,33086,Montereale Valcellina ,12.6827229,46.0967167,house,PN,+39 0427 75300,+39 0427 75300,casailpellegrin@gmail.com,non convenzionata,Comunità alloggio,"Comunità alloggio, pubblica comunale, non convenzionata con SSR; ASS6 - Friuli occidentale, distretto 6.4 Nord",group_home,,17,17,,
ASS4 - Medio Friuli,4.2 Tarcento,104,Comunità alloggio anziani - Pradielis 11,privata sociale,,Pradielis,11,33010,Lusevera ,13.26041,46.279,school,UD,+39 0432 787055,+39 0432 787353,comanziani@gmail.com,non convenzionata,Comunità alloggio,"Comunità alloggio, privata sociale, non convenzionata con SSR; ASS4 - Medio Friuli, distretto 4.2 Tarcento",group_home,,13,13,,
ASS4 - Medio Friuli,4.2 Tarcento,105,Comunità alloggio anziani - Villanova 110,privata sociale,,Villanova,110,33010,Lusevera ,13.273239,46.252653,school,UD,+39 0432 787069,+39 0432 787353,comanziani@gmail.com,non convenzionata,Comunità alloggio,"Comunità alloggio, privata sociale, non convenzionata con SSR; ASS4 - Medio Friuli, distretto 4.2 Tarcento",group_home,,13,13,,
ASS4 - Medio Friuli,4.2 Tarcento,106,Comunità alloggio Attimis,privata sociale,,Piazza Aldo Moro,1a,33040,Attimis ,13.3047944,46.1883144,house,UD,+39 0432 789593,+39 0432 789593,campeglio@universiis.it,non convenzionata,Comunità alloggio,"Comunità alloggio, privata sociale, non convenzionata con SSR; ASS4 - Medio Friuli, distretto 4.2 Tarcento",group_home,,10,10,,
ASS4 - Medio Friuli,4.2 Tarcento,107,Comunità alloggio casa famiglia Taipana,pubblica comunale,Comune di Taipana ,taipana,46,33040,Taipana ,13.3383825,46.2469183,,UD,+39 0432 788054,+39 0432 788054,,non convenzionata,Comunità alloggio,"Comunità alloggio, pubblica comunale, non convenzionata con SSR; ASS4 - Medio Friuli, distretto 4.2 Tarcento",group_home,,24,24,,
ASS4 - Medio Friuli,4.5 Udine,108,Congregazione Ancelle della carità,ente religioso,,Via Francesco Crispi,35,33100,Udine,13.2353319,46.0590362,house,UD,+39 0432 501386,+39 0432 501386,s.spiritoudine@gmail.com,non convenzionata,Residenza ad utenza diversificata,"Residenza ad utenza diversificata, ente religioso, non convenzionata con SSR; ASS4 - Medio Friuli, distretto 4.5 Udine",nursing_home,senior;disabled,51,11,40,
ASS2 - Isontina,2.1 Alto Isontino,109,Congregazione Suore di Maria M. M. Domus Mariae SS. Reginae,ente religioso,,Corso Italia,120,34170,Gorizia,13.6143583,45.9396803,house,GO,+39 0481 533888,+39 0481 539758,suoredimaria@libero.it,non convenzionata,Casa albergo,"Casa albergo, ente religioso, non convenzionata con SSR; ASS2 - Isontina, distretto 2.1 Alto Isontino",assisted_living,senior,14,14,,
ASS6 - Friuli occidentale,6.4 Nord,110,Fondazione Casa per anziani Valeriano,privata sociale,,VIA SOTTOPLOVIA,21,33094,Pinzano al Tagliamento ,12.9227618,46.1696237,house,PN,+39 0432 950643,+39 0432 950643,info@studiogiacomello.com,non convenzionata,Casa albergo,"Casa albergo, privata sociale, non convenzionata con SSR; ASS6 - Friuli occidentale, distretto 6.4 Nord",assisted_living,senior,15,15,,
ASS6 - Friuli occidentale,6.3 Sud,111,Fondazione Micoli Toscano,privata sociale,,Via vincenzo Favetti,7,33080,Zoppola ,12.801910491303,45.97489595,social_facility,PN,+39 0434 97187,+39 0434 97243,fondazione@micolitoscano.it,convenzionata,Residenza protetta,"Residenza protetta, privata sociale, convenzionata con SSR; ASS6 - Friuli occidentale, distretto 6.3 Sud",nursing_home,disabled,108,,108,
ASS6 - Friuli occidentale,6.2 Est,112,Fondazione Opera Colledani-Bulian,privata sociale,,Borgo Sant'Antonio,9,33098,Valvasone ,12.8683366,45.9949834,house,PN,+39 0434 899390,+39 0434 847600,colledani-bulian@libero.it,non convenzionata,Casa albergo,"Casa albergo, privata sociale, non convenzionata con SSR; ASS6 - Friuli occidentale, distretto 6.2 Est",assisted_living,senior,25,25,,
ASS2 - Isontina,2.1 Alto Isontino,113,Istituto Sacra Famiglia,privata sociale,,Via Don Bosco,66,34170,Gorizia,13.6173753,45.9538807,house,GO,+39 0481 530341,+39 0481 545928,solskego@tiscali.it,non convenzionata,Casa albergo,"Casa albergo, privata sociale, non convenzionata con SSR; ASS2 - Isontina, distretto 2.1 Alto Isontino",assisted_living,senior,24,24,,
ASS1 - Triestina,1.2 Sud,114,Residenza polifunzionale Cellini,privata di mercato,,Via Benvenuto Cellini,3,34132,Trieste,13.7732709,45.6563049,house,TS,+39 040 365084,+39 040 365084,,non convenzionata,Residenza polifunzionale,"Residenza polifunzionale, privata di mercato, non convenzionata con SSR; ASS1 - Triestina, distretto 1.2 Sud",nursing_home,senior,23,,,23
ASS3 - Alto Friuli,3.2 Carnia,115,Residence Stati Uniti d'America Centro anziani,pubblica comunale,Comune di Villa Santina ,Via Stati Uniti d'America,10,33029,Villa Santina ,12.9292022,46.4132426,house,UD,+39 0433 74364,+39 0433 74364,,convenzionata,Casa albergo,"Casa albergo, pubblica comunale, convenzionata con SSR; ASS3 - Alto Friuli, distretto 3.2 Carnia",assisted_living,senior,96,96,,
ASS4 - Medio Friuli,4.5 Udine,116,Residenza Aurora,privata di mercato,,Via della statua,1a,33050,Terenzano ,13.2154957,46.0047689,house,UD,+39 0432 560697,+39 0432 560697,francescairis@virgilio.it,non convenzionata,Residenza polifunzionale,"Residenza polifunzionale, privata di mercato, non convenzionata con SSR; ASS4 - Medio Friuli, distretto 4.5 Udine",nursing_home,senior,10,,,10
ASS1 - Triestina,1.2 Sud,117,Residenza Carducci,privata di mercato,,VIA CARDUCCI,24,34125,Trieste,13.7673248,45.6470874,school,TS,+39 040 763078 - 040 631829,+39 1782714401,carducci@residenzeagape.it,convenzionata,Residenza polifunzionale con modulo fascia A,"Residenza polifunzionale con modulo fascia A, privata di mercato, convenzionata con SSR; ASS1 - Triestina, distretto 1.2 Sud",nursing_home,,40,,,40
ASS1 - Triestina,1.4 Nord,118,Residenza E. Gregoretti,pubblica comunale,Comune di Trieste,Via paolo de Ralli,1,34128,Trieste,13.7995734,45.6578496,house,TS,+39 040 3593711,+39 040 3593709,casa_riposo_gregoretti@comune.trieste.it,convenzionata,Residenza protetta,"Residenza protetta, pubblica comunale, convenzionata con SSR; ASS1 - Triestina, distretto 1.4 Nord",nursing_home,disabled,91,,91,
ASS4 - Medio Friuli,4.5 Udine,119,Residenza I Faggi,pubblica ASP,Residenza I Faggi,VIA giovanni MICESIO,31,33100,Udine,13.2282435,46.0684307,social_facility,UD,+39 0432 514111,+39 0432 287233,segreteria@laquieteudine.it,non convenzionata,Casa albergo,"Casa albergo, pubblica ASP, non convenzionata con SSR; ASS4 - Medio Friuli, distretto 4.5 Udine",assisted_living,senior,124,124,,
ASS1 - Triestina,1.1 Ovest,120,Residenza Le Magnolie,privata di mercato,,Via di Cologna,29/1,34127,Trieste ,13.7897493,45.6557739,house,TS,+39 040 55307,+39 040 2464893,info@residenzalemagnolie.com,non convenzionata,Residenza polifunzionale,"Residenza polifunzionale, privata di mercato, non convenzionata con SSR; ASS1 - Triestina, distretto 1.1 Ovest",nursing_home,senior,25,,,25
ASS1 - Triestina,1.2 Sud,121,Residenza Le Rose,privata di mercato,,Via Roma,13,34123,Trieste,13.7727337,45.6529522,hotel,TS,+39 040 363360,+39 040 363360,susylerose@yahoo.it,non convenzionata,Residenza polifunzionale,"Residenza polifunzionale, privata di mercato, non convenzionata con SSR; ASS1 - Triestina, distretto 1.2 Sud",nursing_home,senior,25,,,25
ASS4 - Medio Friuli,4.5 Udine,122,Residenza S. Anna,privata sociale,,Via Achille Tellini,1,33100,Udine,13.2585447,46.0265803,house,UD,+39 0432 600649,+39 0432 624001,s.annasegreteria@societadolce.it,convenzionata,Residenza protetta,"Residenza protetta, privata sociale, convenzionata con SSR; ASS4 - Medio Friuli, distretto 4.5 Udine",nursing_home,disabled,95,,95,
ASS1 - Triestina,1.2 Sud,123,Residenza Santa Chiara,privata di mercato,,Via Udine,13,34132,Trieste ,13.774488,45.6576085,house,TS,+39 040 413035,+39 040 4526507,santachiarats@gmail.com,non convenzionata,Residenza polifunzionale,"Residenza polifunzionale, privata di mercato, non convenzionata con SSR; ASS1 - Triestina, distretto 1.2 Sud",nursing_home,senior,20,,,20
ASS3 - Alto Friuli,3.2 Carnia,124,Residenza per anziani Monsignor Nigris,privata sociale,,Via della Maina,27,33021,Ampezzo ,12.8011084,46.4142574,house,UD,+39 0433 80970,+39 0433 811835,cdrnigris@universiis.it,convenzionata,Residenza protetta,"Residenza protetta, privata sociale, convenzionata con SSR; ASS3 - Alto Friuli, distretto 3.2 Carnia",nursing_home,disabled,37,,37,
ASS2 - Isontina,2.2 Basso Isontino,125,Residenza per anziani ad utenza diversificata,pubblica comunale,Comune di Monfalcone ,Via della Crociera,14,34074,Monfalcone ,13.5230973,45.8015469,pharmacy,GO,+39 0481 494811,+39 0481 494814,casaalbergo@comune.monfalcone.go.it,convenzionata,Residenza ad utenza diversificata,"Residenza ad utenza diversificata, pubblica comunale, convenzionata con SSR; ASS2 - Isontina, distretto 2.2 Basso Isontino",nursing_home,senior;disabled,62,,62,
ASS4 - Medio Friuli,4.5 Udine,126,Residenza per anziani Zaffiro Martignacco,privata di mercato,,VIA DELLA VECCHIA FILATURA,26/1,33035,Martignacco ,13.1842782,46.0926479,house,UD,+39 0432 407311,+39 0432 410284,f.minisini@gruppozaffiro.it,convenzionata,Residenza ad utenza diversificata,"Residenza ad utenza diversificata, privata di mercato, convenzionata con SSR; ASS4 - Medio Friuli, distretto 4.5 Udine",nursing_home,senior;disabled,120,0,120,
ASS4 - Medio Friuli,4.1 S.Daniele,127,Residenza per persone non autosufficienti di S. Daniele del Friuli,azienda per i servizi sanitari,ASS4 - Medio Friuli,via Dalmazia,33,33038,San Daniele del Friuli ,13.0073433,46.1514719,house,UD,+39 0432 969011,+39 0432 969020,segreteriacdr.sdaniele@mediofriuli.it,convenzionata,Residenza protetta,"Residenza protetta, azienda per i servizi sanitari, convenzionata con SSR; ASS4 - Medio Friuli, distretto 4.1 S.Daniele",nursing_home,disabled,146,,146,
